StationName,Latitude,Longitude,SampleDepth_m,SampleDate,depth_band,measure,value
Maria Island,-42.5967,148.2333,0,2010-01-21,0-5m,Nitrate_mgm3,0
Maria Island,-42.5967,148.2333,10,2010-01-21,5-10m,Ammonium_mgm3,0.7003349999999999
Maria Island,-42.5967,148.2333,10,2010-01-21,5-10m,Nitrate_mgm3,1.4006699999999999
Maria Island,-42.5967,148.2333,20,2010-01-21,10-20m,Ammonium_mgm3,0.7003349999999999
Maria Island,-42.5967,148.2333,20,2010-01-21,10-20m,Nitrate_mgm3,0
Maria Island,-42.5967,148.2333,0,2010-03-30,0-5m,Ammonium_mgm3,0.7003349999999999
Maria Island,-42.5967,148.2333,0,2010-03-30,0-5m,Nitrate_mgm3,9.804689999999997
Maria Island,-42.5967,148.2333,10,2010-03-30,5-10m,Ammonium_mgm3,0.28013399999999994
Maria Island,-42.5967,148.2333,10,2010-03-30,5-10m,Nitrate_mgm3,9.804689999999997
Maria Island,-42.5967,148.2333,20,2010-03-30,10-20m,Ammonium_mgm3,0.8404019999999998
Maria Island,-42.5967,148.2333,20,2010-03-30,10-20m,Nitrate_mgm3,11.205359999999999
Maria Island,-42.5967,148.2333,0,2010-05-05,0-5m,Ammonium_mgm3,2.9414069999999994
Maria Island,-42.5967,148.2333,0,2010-05-05,0-5m,Nitrate_mgm3,21.010049999999996
Maria Island,-42.5967,148.2333,10,2010-05-05,5-10m,Ammonium_mgm3,3.361607999999999
Maria Island,-42.5967,148.2333,10,2010-05-05,5-10m,Nitrate_mgm3,21.010049999999996
Maria Island,-42.5967,148.2333,20,2010-05-05,10-20m,Ammonium_mgm3,3.7818089999999995
Maria Island,-42.5967,148.2333,20,2010-05-05,10-20m,Nitrate_mgm3,21.010049999999996
Maria Island,-42.5967,148.2333,0,2010-05-27,0-5m,Ammonium_mgm3,1.6808039999999995
Maria Island,-42.5967,148.2333,0,2010-05-27,0-5m,Nitrate_mgm3,49.02344999999999
Maria Island,-42.5967,148.2333,10,2010-05-27,5-10m,Ammonium_mgm3,1.1205359999999998
Maria Island,-42.5967,148.2333,10,2010-05-27,5-10m,Nitrate_mgm3,49.02344999999999
Maria Island,-42.5967,148.2333,20,2010-05-27,10-20m,Ammonium_mgm3,1.1205359999999998
Maria Island,-42.5967,148.2333,20,2010-05-27,10-20m,Nitrate_mgm3,51.82478999999999
Maria Island,-42.5967,148.2333,0,2010-06-15,0-5m,Ammonium_mgm3,0
Maria Island,-42.5967,148.2333,0,2010-06-15,0-5m,Nitrate_mgm3,40.619429999999994
Maria Island,-42.5967,148.2333,10,2010-06-15,5-10m,Ammonium_mgm3,0
Maria Island,-42.5967,148.2333,10,2010-06-15,5-10m,Nitrate_mgm3,39.21875999999999
Maria Island,-42.5967,148.2333,20,2010-06-15,10-20m,Ammonium_mgm3,0
Maria Island,-42.5967,148.2333,20,2010-06-15,10-20m,Nitrate_mgm3,40.619429999999994
Maria Island,-42.5967,148.2333,0,2010-07-22,0-5m,Ammonium_mgm3,1.8208709999999997
Maria Island,-42.5967,148.2333,0,2010-07-22,0-5m,Nitrate_mgm3,47.62277999999999
Maria Island,-42.5967,148.2333,10,2010-07-22,5-10m,Ammonium_mgm3,0
Maria Island,-42.5967,148.2333,10,2010-07-22,5-10m,Nitrate_mgm3,47.62277999999999
Maria Island,-42.5967,148.2333,20,2010-07-22,10-20m,Ammonium_mgm3,0.9804689999999999
Maria Island,-42.5967,148.2333,20,2010-07-22,10-20m,Nitrate_mgm3,46.222109999999994
Maria Island,-42.5967,148.2333,0,2010-10-01,0-5m,Ammonium_mgm3,0
Maria Island,-42.5967,148.2333,0,2010-10-01,0-5m,Nitrate_mgm3,61.629479999999994
Maria Island,-42.5967,148.2333,10,2010-10-01,5-10m,Ammonium_mgm3,0.14006699999999997
Maria Island,-42.5967,148.2333,10,2010-10-01,5-10m,Nitrate_mgm3,61.629479999999994
Maria Island,-42.5967,148.2333,20,2010-10-01,10-20m,Ammonium_mgm3,0
Maria Island,-42.5967,148.2333,20,2010-10-01,10-20m,Nitrate_mgm3,61.629479999999994
Maria Island,-42.5967,148.2333,0,2010-10-27,0-5m,Ammonium_mgm3,14.566967999999997
Maria Island,-42.5967,148.2333,0,2010-10-27,0-5m,Nitrate_mgm3,23.811389999999996
Maria Island,-42.5967,148.2333,10,2010-10-27,5-10m,Ammonium_mgm3,8.964287999999998
Maria Island,-42.5967,148.2333,10,2010-10-27,5-10m,Nitrate_mgm3,22.410719999999998
Maria Island,-42.5967,148.2333,20,2010-10-27,10-20m,Ammonium_mgm3,6.723215999999998
Maria Island,-42.5967,148.2333,20,2010-10-27,10-20m,Nitrate_mgm3,26.612729999999992
Maria Island,-42.5967,148.2333,0,2010-12-14,0-5m,Ammonium_mgm3,0
Maria Island,-42.5967,148.2333,0,2010-12-14,0-5m,Nitrate_mgm3,0
Maria Island,-42.5967,148.2333,10,2010-12-14,5-10m,Ammonium_mgm3,0
Maria Island,-42.5967,148.2333,10,2010-12-14,5-10m,Nitrate_mgm3,0
Maria Island,-42.5967,148.2333,20,2010-12-14,10-20m,Ammonium_mgm3,0
Maria Island,-42.5967,148.2333,20,2010-12-14,10-20m,Nitrate_mgm3,1.4006699999999999
Maria Island,-42.5967,148.2333,0,2011-01-19,0-5m,Ammonium_mgm3,0
Maria Island,-42.5967,148.2333,0,2011-01-19,0-5m,Nitrate_mgm3,1.4006699999999999
