latitude, longitude, site_id
-42.83756679999999761321305413730442523956298828125,147.5140403999999989537172950804233551025390625,14206
-41.1632000000000033423930290155112743377685546875,146.39240000000000918589648790657520294189453125,14222
-41.06328700000000253567122854292392730712890625,145.9444369999999935316736809909343719482421875,14232
-38.39760566000000352460119756869971752166748046875,142.244502600000004122193786315619945526123046875,14258
-38.011268999999998641214915551245212554931640625,144.581825000000009140421752817928791046142578125,14265
-34.9316000000000030922819860279560089111328125,150.78348299999998971543391235172748565673828125,14112,-33.476843000000002348315319977700710296630859375,151.441387999999989233401720412075519561767578125,14121,-33.86331700000000211048245546407997608184814453125,151.28334699999999202191247604787349700927734375,14099,-33.86524899999999860256139072589576244354248046875,151.283917999999999892679625190794467926025390625,14101,-33.056950000000000500222085975110530853271484375,151.677766999999988684066920541226863861083984375,5176,-36.44381700000000279260348179377615451812744140625,150.07431700000000773798092268407344818115234375,5179,-34.65311700000000172394720721058547496795654296875,150.861700000000013233147910796105861663818359375,5182,-33.89450000000000073896444519050419330596923828125,151.30666700000000446379999630153179168701171875,5185,-31.66297399999999839792508282698690891265869140625,152.82219870000000128129613585770130157470703125,5192,,
-34.3720670000000012578311725519597530364990234375,150.928433000000012498276191763579845428466796875,5174
-36.19315000000000281943357549607753753662109375,150.134199999999992769517120905220508575439453125,5219
-33.28316699999999883630152908153831958770751953125,151.577732999999994945028447546064853668212890625,5222
-33.82450000000000045474735088646411895751953125,151.35050000000001091393642127513885498046875,5224
-34.4953330000000022437234292738139629364013671875,150.920582999999993489836924709379673004150390625,5228
-34.04308300000000286900103674270212650299072265625,151.21233300000000099316821433603763580322265625,5230
-34.563682999999997491613612510263919830322265625,150.87364999999999781721271574497222900390625,5233
-32.76396700000000095087671070359647274017333984375,152.1612499999999954525264911353588104248046875,5187
-30.322766099999999056535671115852892398834228515625,153.131991599999992104130797088146209716796875,5194
-34.4436859999999995807229424826800823211669921875,150.90956099999999651117832399904727935791015625,5196
-31.182263999999999981582732289098203182220458984375,152.9690249999999878127709962427616119384765625,5199
-37.06703399999999959391061565838754177093505859375,149.91248400000000629006535746157169342041015625,5207
-32.233194400000002133310772478580474853515625,152.557702400000010811709216795861721038818359375,5209
-32.97028300000000200498107005842030048370361328125,151.747217000000006237314664758741855621337890625,5189
-29.419596999999999553665475104935467243194580078125,153.348199999999991405275068245828151702880859375,5211
-35.835183000000000674845068715512752532958984375,150.208116999999987228875397704541683197021484375,5213
-33.98700000000000187583282240666449069976806640625,151.30666700000000446379999630153179168701171875,5215
-36.9196510000000017726051737554371356964111328125,149.903537999999997509803506545722484588623046875,5217
-28.82213300000000089085006038658320903778076171875,153.6083800000000110230757854878902435302734375,5235
-35.37769999999999726014721090905368328094482421875,150.469166999999998779458110220730304718017578125,5237
-33.8571850000000011959855328314006328582763671875,151.286052000000012185410014353692531585693359375,5239
-33.69805000000000205773176276125013828277587890625,151.311882999999994581230566836893558502197265625,5242
-29.42027900000000073532646638341248035430908203125,153.3480729999999994106474332511425018310546875,5249
-12.0474809999999994403196978964842855930328369140625,135.592878000000013116732588969171047210693359375,5254
-12.412352999999999525471139349974691867828369140625,130.84282200000001239459379576146602630615234375,5262
-33.3843669999999974606907926499843597412109375,151.48646700000000464569893665611743927001953125,5247
-12.4591680000000000205773176276125013828277587890625,130.913018999999991365257301367819309234619140625,5252
-12.036680000000000489990270580165088176727294921875,134.229549999999989040588843636214733123779296875,5264
-11.4302899999999993951860233210027217864990234375,130.68297999999998637576936744153499603271484375,5266
-12.1136029999999994544168657739646732807159423828125,134.91842500000001336957211606204509735107421875,5268
-13.7710559999999997415898178587667644023895263671875,136.201675999999991972799762152135372161865234375,5270
-11.138799999999999812416717759333550930023193359375,132.578360000000003537934389896690845489501953125,5272
-11.4133019999999998361772668431513011455535888671875,130.419233999999988782292348332703113555908203125,5277
-11.6612899999999992672883308841846883296966552734375,133.4019700000000057116267271339893341064453125,5279
-12.3589000000000002188471626141108572483062744140625,130.91059999999998808561940677464008331298828125,5257
-11.7503399999999995628741089603863656520843505859375,130.628140000000001919033820740878582000732421875,5281
-12.2625410000000005794618118670769035816192626953125,136.9017489999999952487996779382228851318359375,5283
-27.711619999999999919282345217652618885040283203125,153.22953000000001111402525566518306732177734375,5285
-20.02544999999999930651028989814221858978271484375,148.265320000000002664819476194679737091064453125,5288
-27.09525000000000005684341886080801486968994140625,152.970110000000005356923793442547321319580078125,5294
-12.4015000000000004121147867408581078052520751953125,130.822300000000012687451089732348918914794921875,5260
-20.265299999999999869260136620141565799713134765625,148.69360000000000354702933691442012786865234375,5297
-27.516980000000000217141860048286616802215576171875,153.19679999999999608917278237640857696533203125,5300
-27.602019999999999555484464508481323719024658203125,152.9060299999999870124156586825847625732421875,5303
-19.288380000000000080717654782347381114959716796875,146.864000000000004320099833421409130096435546875,5306
-26.57876999999999867441147216595709323883056640625,153.067010000000010450094123370945453643798828125,5309
-12.5037000000000002586375558166764676570892333984375,130.948610000000002173692337237298488616943359375,5275
