FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleDepth_m,SampleID,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,TSSorganic_mgL,TSSinorganic_mgL,TSS_mgL,TSSall_flag,Prochlorococcus_cellsmL,Prochlorococcus_flag,Synechococcus_cellsmL,Synechococcus_flag,Picoeukaryotes_cellsmL,Picoeukaryotes_flag,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,AustralianMicrobiomeId,geom
combined_bgc_data.fid--1accc36f_191f80e2cba_4547,NRS,Maria Island,MAI20160321,2016-03-21,2016-03-22 11:12:00,-42.5967,148.2333,23,60,MAI20160321_60,35.582,1,,9,,9,219.3,1,0.19,1,0.3,1,,0,0.21,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4548,NRS,Maria Island,MAI20160321,2016-03-21,2016-03-22 11:12:00,-42.5967,148.2333,23,75,MAI20160321_75,35.555,1,2087.53,1,2331.4,1,211.7,1,0.18,1,0.4,1,,0,0.16,1,4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34161,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4549,NRS,Maria Island,MAI20160321,2016-03-21,2016-03-22 11:12:00,-42.5967,148.2333,23,85,MAI20160321_85,35.549,1,2086.2,1,2331.21,1,211.8,1,0.17,1,0.4,1,,0,0.2,1,4.6,1,,,,,,,,,,,0.006,0.008,0,0,,,0.024,0,0.175,0.044,0,0.026,0.009,,0,0,0.006,0,0,0.181,0.006,0.044,0,0,0.045,0,0.029,0,0,0,0,0.004,0,0,0,0,0.014,0,0,0.002,0.007,0,http://hdl.handle.net/102.100.100/34162,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_454a,NRS,Maria Island,MAI20160321,2016-03-21,2016-03-22 11:12:00,-42.5967,148.2333,23,WC,MAI20160321_WC,,,,,,,,,,,,,,,,,,,,,,,14255,1,22304.5,1,5655,1,0.018,0.015,0,0,,,0.03,0,0.333,0.062,0,0.055,0.042,,0.052,0,0.018,0,0,0.352,0.019,0.062,0,0,0.05,0,0.076,0,0,0,0,0.008,0.024,0,0,0,0.017,0,0,0.007,0.029,0,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_454b,NRS,Maria Island,MAI20160428,2016-04-28,2016-04-28 12:51:00,-42.5967,148.2333,12,0,MAI20160428_0,35.638,1,2061.35,1,2337.13,1,244.2,1,0.07,1,0.2,1,,0,0.09,1,0.5,1,,,,,,,,,,,0.019,0.03,0,0,,,0.047,0,1.103,0.067,0,0.18,0.125,,0.195,0,0.046,0,0,1.108,0.005,0.067,0,0,0.381,0,0.125,0,0,0,0,0.009,0.041,0,0,0,0.018,0,0,0.007,0.02,0,http://hdl.handle.net/102.100.100/34787,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_454c,NRS,Maria Island,MAI20160428,2016-04-28,2016-04-28 12:51:00,-42.5967,148.2333,12,10,MAI20160428_10,35.637,1,2063.73,1,2338.64,1,244.2,1,0.08,1,0.2,1,,0,0.11,1,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34788,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_454d,NRS,Maria Island,MAI20160428,2016-04-28,2016-04-28 12:51:00,-42.5967,148.2333,12,20,MAI20160428_20,35.636,1,,9,,9,243.9,1,0.07,1,0.2,1,,0,0.1,1,0.5,1,,,,,,,,,,,0.018,0.035,0,0,,,0.048,0,1.328,0.076,0,0.209,0.256,,0.187,0,0.043,0,0,1.337,0.009,0.076,0,0,0.449,0,0.132,0,0,0,0,0.008,0.045,0,0,0,0.015,0,0,0.005,0.018,0,http://hdl.handle.net/102.100.100/34789,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_454e,NRS,Maria Island,MAI20160428,2016-04-28,2016-04-28 12:51:00,-42.5967,148.2333,12,30,MAI20160428_30,35.63,1,2065.05,1,2336.2,1,245,1,0.09,1,0.2,1,,0,0.09,1,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_454f,NRS,Maria Island,MAI20160428,2016-04-28,2016-04-28 12:51:00,-42.5967,148.2333,12,40,MAI20160428_40,35.591,1,,9,,9,239.1,1,0.17,1,0.2,1,,0,0.21,1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4550,NRS,Maria Island,MAI20160428,2016-04-28,2016-04-28 12:51:00,-42.5967,148.2333,12,50,MAI20160428_50,35.562,1,2076.11,1,2330.19,1,232.9,1,0.23,1,0.3,1,,0,0.17,1,2.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34790,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4551,NRS,Maria Island,MAI20160428,2016-04-28,2016-04-28 12:51:00,-42.5967,148.2333,12,60,MAI20160428_60,35.453,1,,9,,9,212.4,1,0.14,1,0.5,1,,0,0.03,1,6.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4552,NRS,Maria Island,MAI20160428,2016-04-28,2016-04-28 12:51:00,-42.5967,148.2333,12,75,MAI20160428_75,35.376,1,2107.86,1,2320.01,1,201,1,0.13,1,0.7,1,,0,0.02,1,8.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34791,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4553,NRS,Maria Island,MAI20160428,2016-04-28,2016-04-28 12:51:00,-42.5967,148.2333,12,85,MAI20160428_85,35.375,1,2109.59,1,2321.27,1,203.8,1,0.12,1,0.7,1,,0,0.07,1,8.6,1,,,,,,,,,,,0.022,0.033,0,0,,,0.054,0,1.303,0.074,0,0.177,0.12,,0.17,0,0.048,0.004,0,1.312,0.009,0.074,0,0,0.422,0,0.146,0,0,0,0,0.01,0.047,0,0,0,0.015,0,0,0.005,0.018,0,http://hdl.handle.net/102.100.100/34792,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4554,NRS,Maria Island,MAI20160428,2016-04-28,2016-04-28 12:51:00,-42.5967,148.2333,12,WC,MAI20160428_WC,,,,,,,,,,,,,,,,,,,,,,,7340,1,18040,1,3179.5,1,0.016,0.02,0,0,,,0.041,0,0.653,0.044,0,0.118,0.067,,0.24,0,0.036,0.003,0,0.653,0,0.044,0,0,0.25,0,0.112,0,0,0,0,0.007,0.035,0,0,0,0.016,0,0,0.005,0.015,0,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4555,NRS,Maria Island,MAI20160530,2016-05-30,2016-05-31 10:54:00,-42.5967,148.2333,20,0,MAI20160530_0,35.46,1,2101.04,1,2324.33,1,248.5,1,0.15,1,2.3,1,0.4,1,0.3,1,1.2,1,,,,,,,,,,,0.043,0.021,0,0,,,0.024,0,0.538,0.092,0,0.07,0.034,,0.075,0,0.025,0.004,0,0.538,0,0.092,0,0,0.075,0,0.045,0,0,0,0,0.01,0.021,0,0,0,0.023,0,0,0.013,0.009,0,http://hdl.handle.net/102.100.100/34268,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4556,NRS,Maria Island,MAI20160530,2016-05-30,2016-05-31 10:54:00,-42.5967,148.2333,20,10,MAI20160530_10,35.467,1,2096.03,1,2330.05,1,247.2,1,0.1,1,2.3,1,0.4,1,0.3,1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34269,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4557,NRS,Maria Island,MAI20160530,2016-05-30,2016-05-31 10:54:00,-42.5967,148.2333,20,20,MAI20160530_20,35.465,1,,9,,9,246.8,1,0.05,1,2.3,1,0.4,1,0.3,1,1.2,1,,,,,,,,,,,0.026,0.014,0,0,,,0.022,0,0.319,0.062,0,0.059,0.033,,0.129,0,0.015,0,0,0.319,0,0.062,0,0,0.078,0,0.042,0,0,0,0,0.01,0.02,0,0,0,0.022,0,0,0.009,0.006,0,http://hdl.handle.net/102.100.100/34270,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4558,NRS,Maria Island,MAI20160530,2016-05-30,2016-05-31 10:54:00,-42.5967,148.2333,20,30,MAI20160530_30,35.464,1,2093.21,1,2329.49,1,252.2,1,0.06,1,2.3,1,0.4,1,0.3,1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4559,NRS,Maria Island,MAI20160530,2016-05-30,2016-05-31 10:54:00,-42.5967,148.2333,20,40,MAI20160530_40,35.465,1,,9,,9,251.6,1,0,6,2.2,1,0.41,1,0.29,1,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_455a,NRS,Maria Island,MAI20160530,2016-05-30,2016-05-31 10:54:00,-42.5967,148.2333,20,50,MAI20160530_50,35.482,1,2093.97,1,2327.29,1,251.5,1,0.1,1,2.1,1,0.41,1,0.29,1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34271,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_455b,NRS,Maria Island,MAI20160530,2016-05-30,2016-05-31 10:54:00,-42.5967,148.2333,20,60,MAI20160530_60,35.538,1,,9,,9,251.3,1,0.35,1,2,1,0.42,1,0.31,1,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_455c,NRS,Maria Island,MAI20160530,2016-05-30,2016-05-31 10:54:00,-42.5967,148.2333,20,75,MAI20160530_75,35.549,1,2091.63,1,2335.18,1,251.1,1,0.41,1,2,1,0.4,1,0.32,1,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34272,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_455d,NRS,Maria Island,MAI20160530,2016-05-30,2016-05-31 10:54:00,-42.5967,148.2333,20,85,MAI20160530_85,35.55,1,2097.28,1,2337.17,1,252.3,1,0.42,1,2,1,0.41,1,0.32,1,1.7,1,,,,,,,,,,,0.008,0.008,0,0,,,0.013,0,0.203,0.044,0,0.024,0.013,,0.018,0,0.005,0,0,0.203,0,0.044,0,0,0.043,0,0.025,0,0,0,0,0.006,0,0,0,0,0.017,0,0,0.004,0.002,0,http://hdl.handle.net/102.100.100/34273,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_455e,NRS,Maria Island,MAI20160530,2016-05-30,2016-05-31 10:54:00,-42.5967,148.2333,20,WC,MAI20160530_WC,,,,,,,,,,,,,,,,,,,,,,,4015,1,10379.5,1,4660,1,0.037,0.022,0,0,,,0.026,0,0.582,0.108,0,0.076,0.044,,0.072,0,0.031,0.003,0,0.582,0,0.108,0,0,0.078,0,0.053,0,0.003,0,0,0.013,0.052,0,0,0,0.029,0,0,0.014,0.009,0,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_455f,NRS,Maria Island,MAI20160630,2016-06-30,2016-07-01 11:10:00,-42.5967,148.2333,14,0,MAI20160630_0,35.284,1,2103.21,1,2322.65,1,254.4,1,0.01,1,3.5,1,0.1,1,0.35,1,1.3,1,,,,,,,,,,,0.02,0.016,0,0,,,0.023,0,0.429,0.102,0,0.053,0.038,,0,0,0.015,0,0,0.435,0.006,0.102,0,0,0.051,0,0.042,0,0,0,0,0.011,0.012,0,0,0,0.028,0,0,0.01,0.009,0,http://hdl.handle.net/102.100.100/34793,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4560,NRS,Maria Island,MAI20160630,2016-06-30,2016-07-01 11:10:00,-42.5967,148.2333,14,10,MAI20160630_10,35.284,1,2099.3,1,2324.17,1,254.6,1,0.01,1,3.5,1,0.1,1,0.36,1,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34794,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4561,NRS,Maria Island,MAI20160630,2016-06-30,2016-07-01 11:10:00,-42.5967,148.2333,14,20,MAI20160630_20,35.285,1,,9,,9,254.5,1,0.02,1,3.5,1,0.11,1,0.36,1,1.3,1,,,,,,,,,,,0.014,0.013,0,0,,,0.025,0,0.365,0.091,0,0.041,0.031,,0.012,0,0.01,0,0,0.368,0.003,0.091,0,0,0.052,0,0.04,0,0,0,0,0.011,0.01,0,0,0,0.029,0,0,0.007,0.007,0,http://hdl.handle.net/102.100.100/34795,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4562,NRS,Maria Island,MAI20160630,2016-06-30,2016-07-01 11:10:00,-42.5967,148.2333,14,30,MAI20160630_30,35.286,1,2103.87,1,2323.93,1,255.1,1,0.01,1,3.5,1,0.11,1,0.36,1,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4563,NRS,Maria Island,MAI20160630,2016-06-30,2016-07-01 11:10:00,-42.5967,148.2333,14,40,MAI20160630_40,35.286,1,,9,,9,255.1,1,0.01,1,3.6,1,0.12,1,0.36,1,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4564,NRS,Maria Island,MAI20160630,2016-06-30,2016-07-01 11:10:00,-42.5967,148.2333,14,50,MAI20160630_50,35.286,1,2099.54,1,2324.53,1,255.3,1,0.02,1,3.6,1,0.12,1,0.36,1,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34796,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4565,NRS,Maria Island,MAI20160630,2016-06-30,2016-07-01 11:10:00,-42.5967,148.2333,14,60,MAI20160630_60,35.291,1,,9,,9,255.3,1,0.03,1,3.6,1,0.13,1,0.37,1,1.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4566,NRS,Maria Island,MAI20160630,2016-06-30,2016-07-01 11:10:00,-42.5967,148.2333,14,75,MAI20160630_75,35.288,1,2100.84,1,2324.92,1,255.7,1,0.02,1,3.6,1,0.15,1,0.35,1,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34797,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4567,NRS,Maria Island,MAI20160630,2016-06-30,2016-07-01 11:10:00,-42.5967,148.2333,14,85,MAI20160630_85,35.288,1,2099.68,1,2323.86,1,255.9,1,0.03,1,3.7,1,0.15,1,0.37,1,1.5,1,,,,,,,,,,,0.016,0.014,0,0,,,0.022,0,0.372,0.101,0,0.04,0.033,,0,0,0.009,0,0,0.377,0.005,0.101,0,0,0.052,0,0.038,0,0,0,0,0.011,0.013,0,0,0,0.03,0,0,0.006,0.009,0,http://hdl.handle.net/102.100.100/34798,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4568,NRS,Maria Island,MAI20160630,2016-06-30,2016-07-01 11:10:00,-42.5967,148.2333,14,WC,MAI20160630_WC,,,,,,,,,,,,,,,,,,,0.2,0.2,0.5,0,5079,1,10481,1,7451,1,0.016,0.012,0,0,,,0.023,0,0.378,0.092,0,0.044,0.022,,0,0,0.013,0,0,0.383,0.005,0.092,0,0,0.056,0,0.041,0,0,0,0,0.01,0.012,0,0,0,0.028,0,0,0.009,0.007,0,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4569,NRS,Maria Island,MAI20160720,2016-07-20,2016-07-21 10:40:00,-42.5967,148.2333,14,0,MAI20160720_0,35.231,1,2100.39,1,2326.17,1,262.8,1,0.02,1,3.6,1,0.11,1,0.36,1,1.1,1,,,,,,,,,,,0.01,0.01,0,0,,,0.023,0,0.285,0.053,0,0.031,0.028,,0.014,0,0.012,0,0,0.287,0.002,0.053,0,0,0.056,0,0.041,0,0,0,0,0.007,0.014,0,0,0,0.017,0,0,0.006,0.006,0,http://hdl.handle.net/102.100.100/34799,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_456a,NRS,Maria Island,MAI20160720,2016-07-20,2016-07-21 10:40:00,-42.5967,148.2333,14,10,MAI20160720_10,35.232,1,2097.93,1,2326.53,1,259.8,1,0.07,1,3.6,1,0.1,1,0.36,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34800,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_456b,NRS,Maria Island,MAI20160720,2016-07-20,2016-07-21 10:40:00,-42.5967,148.2333,14,20,MAI20160720_20,35.231,1,,9,,9,259.6,1,0.02,1,3.6,1,0.1,1,0.36,1,1,1,,,,,,,,,,,0.009,0.011,0,0,,,0.025,0,0.338,0.065,0,0.04,0.036,,0,0,0.011,0,0,0.342,0.004,0.065,0,0,0.059,0,0.044,0,0,0,0,0.007,0.015,0,0,0,0.018,0,0,0.005,0.007,0,http://hdl.handle.net/102.100.100/34801,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_456c,NRS,Maria Island,MAI20160720,2016-07-20,2016-07-21 10:40:00,-42.5967,148.2333,14,30,MAI20160720_30,35.231,1,2100.1,1,2325.22,1,259.4,1,0.03,1,3.6,1,0.1,1,0.35,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_456d,NRS,Maria Island,MAI20160720,2016-07-20,2016-07-21 10:40:00,-42.5967,148.2333,14,40,MAI20160720_40,35.232,1,,9,,9,259.5,1,0.02,1,3.6,1,0.09,1,0.36,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_456e,NRS,Maria Island,MAI20160720,2016-07-20,2016-07-21 10:40:00,-42.5967,148.2333,14,50,MAI20160720_50,35.232,1,2103.02,1,2326.65,1,259.4,1,0.02,1,3.6,1,0.09,1,0.36,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34802,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_456f,NRS,Maria Island,MAI20160720,2016-07-20,2016-07-21 10:40:00,-42.5967,148.2333,14,60,MAI20160720_60,35.231,1,,9,,9,259.8,1,0.02,1,3.6,1,0.09,1,0.36,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4570,NRS,Maria Island,MAI20160720,2016-07-20,2016-07-21 10:40:00,-42.5967,148.2333,14,75,MAI20160720_75,35.231,1,2100.1,1,2327.37,1,259.8,1,0.06,1,3.6,1,0.09,1,0.36,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34803,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4571,NRS,Maria Island,MAI20160720,2016-07-20,2016-07-21 10:40:00,-42.5967,148.2333,14,85,MAI20160720_85,35.233,1,2098.69,1,2328.07,1,259.7,1,0.04,1,3.6,1,0.1,1,0.36,1,1.2,1,,,,,,,,,,,0.007,0.01,0,0,,,0.02,0,0.277,0.052,0,0.026,0.016,,0,0,0.009,0,0,0.281,0.004,0.052,0,0,0.056,0,0.035,0,0,0,0,0.007,0.005,0,0,0,0.017,0,0,0.004,0.006,0,http://hdl.handle.net/102.100.100/34804,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4572,NRS,Maria Island,MAI20160720,2016-07-20,2016-07-21 10:40:00,-42.5967,148.2333,14,WC,MAI20160720_WC,,,,,,,,,,,,,,,,,,,0.4,0.4,0.8,0,3971.5,1,7939.5,1,2790,1,0.012,0.013,0,0,,,0.022,0,0.341,0.068,0,0.038,0.024,,0,0,0.019,0,0,0.345,0.004,0.068,0,0,0.062,0,0.041,0,0,0,0,0.008,0.009,0,0,0,0.019,0,0,0.008,0.006,0,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4573,NRS,Maria Island,MAI20160831,2016-08-31,2016-08-31 11:15:00,-42.5967,148.2333,16,0,MAI20160831_0,35.211,1,2095.25,1,2325.49,1,,9,0.05,1,2.8,1,0.16,1,0.33,1,0.7,1,,,,,,,,,,,0.01,0.024,0,0,,,0.02,0,1.243,0.032,0,0.158,0.072,,0.173,0,0.056,0.005,0,1.243,0,0.032,0,0,0.438,0,0.045,0,0,0,0,0.006,0.01,0.059,0,0,0.011,0,0,0.005,0.004,0,http://hdl.handle.net/102.100.100/34805,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4574,NRS,Maria Island,MAI20160831,2016-08-31,2016-08-31 11:15:00,-42.5967,148.2333,16,10,MAI20160831_10,35.21,1,2096.97,1,2325.76,1,280.8,1,0.05,1,2.8,1,0.15,1,0.34,1,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34806,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4575,NRS,Maria Island,MAI20160831,2016-08-31,2016-08-31 11:15:00,-42.5967,148.2333,16,20,MAI20160831_20,35.214,1,,9,,9,271.7,1,0.08,1,3,1,0.15,1,0.36,1,0.7,1,,,,,,,,,,,0.006,0.027,0,0,,,0.022,0,1.22,0.037,0,0.196,0.087,,0.341,0,0.046,0.003,0,1.22,0,0.037,0,0,0.517,0,0.046,0,0,0,0,0.006,0.015,0.056,0,0,0.012,0,0,0.005,0.002,0,http://hdl.handle.net/102.100.100/34807,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4576,NRS,Maria Island,MAI20160831,2016-08-31,2016-08-31 11:15:00,-42.5967,148.2333,16,30,MAI20160831_30,35.22,1,2100.39,1,2326.1,1,273.5,1,0.03,1,3.3,1,0.14,1,0.35,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4577,NRS,Maria Island,MAI20160831,2016-08-31,2016-08-31 11:15:00,-42.5967,148.2333,16,40,MAI20160831_40,35.229,1,,9,,9,274.4,1,0,1,3.7,1,0.13,1,0.38,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4578,NRS,Maria Island,MAI20160831,2016-08-31,2016-08-31 11:15:00,-42.5967,148.2333,16,50,MAI20160831_50,35.229,1,2101.34,1,2325.16,1,270.4,1,0,1,3.7,1,0.14,1,0.38,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34808,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_4579,NRS,Maria Island,MAI20160831,2016-08-31,2016-08-31 11:15:00,-42.5967,148.2333,16,60,MAI20160831_60,35.221,1,,9,,9,268.2,1,0.04,1,3.5,1,0.17,1,0.37,1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid--1accc36f_191f80e2cba_457a,NRS,Maria Island,MAI20160831,2016-08-31,2016-08-31 11:15:00,-42.5967,148.2333,16,75,MAI20160831_75,35.229,1,2098.61,1,2327.51,1,268,1,0.22,1,2.7,1,0.2,1,0.35,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hdl.handle.net/102.100.100/34809,POINT (148.23333 -42.59667)
